Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","682","Saudi Arabia","5610","Import quantity","01314","Dates","2000","2000","t","109.22","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5910","Export quantity","01314","Dates","2000","2000","t","28248.05","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5610","Import quantity","01314","Dates","2001","2001","t","86","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5910","Export quantity","01314","Dates","2001","2001","t","31881","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5610","Import quantity","01314","Dates","2002","2002","t","733","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","682","Saudi Arabia","5910","Export quantity","01314","Dates","2002","2002","t","33925","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5610","Import quantity","01314","Dates","2003","2003","t","1978","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5910","Export quantity","01314","Dates","2003","2003","t","34875","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5610","Import quantity","01314","Dates","2004","2004","t","2814","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5910","Export quantity","01314","Dates","2004","2004","t","47535","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5610","Import quantity","01314","Dates","2005","2005","t","2788","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5910","Export quantity","01314","Dates","2005","2005","t","51098","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5610","Import quantity","01314","Dates","2006","2006","t","2265","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5910","Export quantity","01314","Dates","2006","2006","t","44087","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5610","Import quantity","01314","Dates","2007","2007","t","1568","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5910","Export quantity","01314","Dates","2007","2007","t","48762","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5610","Import quantity","01314","Dates","2008","2008","t","876","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","682","Saudi Arabia","5910","Export quantity","01314","Dates","2008","2008","t","55121","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","682","Saudi Arabia","5610","Import quantity","01314","Dates","2009","2009","t","1232","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","682","Saudi Arabia","5910","Export quantity","01314","Dates","2009","2009","t","47059","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","682","Saudi Arabia","5610","Import quantity","01314","Dates","2010","2010","t","4053","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5910","Export quantity","01314","Dates","2010","2010","t","73362","A","Official figure",""
"TCL","Crops and livestock products","682","Saudi Arabia","5610","Import quantity","01314","Dates","2011","2011","t","47026","X","Figure from external organization","Estimated data using trading partners database"
