Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2000","2000","7021","Annual value","LCU","12237.4","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2001","2001","7021","Annual value","LCU","12424.1","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2002","2002","7021","Annual value","LCU","12401.6","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2003","2003","7021","Annual value","LCU","12421.7","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2009","2009","7021","Annual value","LCU","14180","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2010","2010","7021","Annual value","LCU","12750","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2011","2011","7021","Annual value","LCU","12780","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2012","2012","7021","Annual value","LCU","12730","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2013","2013","7021","Annual value","LCU","12860","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2014","2014","7021","Annual value","LCU","13430","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2015","2015","7021","Annual value","LCU","9898","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2016","2016","7021","Annual value","LCU","9880","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2017","2017","7021","Annual value","LCU","9890","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2018","2018","7021","Annual value","LCU","9900","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2019","2019","7021","Annual value","LCU","9890","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2020","2020","7021","Annual value","LCU","13030","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2021","2021","7021","Annual value","LCU","13540","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2022","2022","7021","Annual value","LCU","14200","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5530","Producer Price (LCU/tonne)","01314","Dates","2023","2023","7021","Annual value","LCU","14552.5","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2000","2000","7021","Annual value","USD","3263.3","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2001","2001","7021","Annual value","USD","3313.1","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2002","2002","7021","Annual value","USD","3307.1","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2003","2003","7021","Annual value","USD","3312.5","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2009","2009","7021","Annual value","USD","3781.3","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2010","2010","7021","Annual value","USD","3400","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2011","2011","7021","Annual value","USD","3408","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2012","2012","7021","Annual value","USD","3394.7","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2013","2013","7021","Annual value","USD","3429.3","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2014","2014","7021","Annual value","USD","3581.3","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2015","2015","7021","Annual value","USD","2639.5","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2016","2016","7021","Annual value","USD","2634.7","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2017","2017","7021","Annual value","USD","2637.3","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2018","2018","7021","Annual value","USD","2640","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2019","2019","7021","Annual value","USD","2637.3","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2020","2020","7021","Annual value","USD","3474.7","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2021","2021","7021","Annual value","USD","3610.7","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2022","2022","7021","Annual value","USD","2989.5","A","Official figure"
"PP","Producer Prices","682","Saudi Arabia","5532","Producer Price (USD/tonne)","01314","Dates","2023","2023","7021","Annual value","USD","3063.7","A","Official figure"
