Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2000","2000","ha","142450","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2000","2000","kg/ha","5158.6","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2000","2000","t","734844","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2001","2001","ha","139099","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2001","2001","kg/ha","5879.9","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2001","2001","t","817887","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2002","2002","ha","139979","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2002","2002","kg/ha","5926.2","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2002","2002","t","829540","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2003","2003","ha","141421","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2003","2003","kg/ha","6251.5","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2003","2003","t","884088","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2004","2004","ha","148801","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2004","2004","kg/ha","6325.9","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2004","2004","t","941293","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2005","2005","ha","150744","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2005","2005","kg/ha","6438","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2005","2005","t","970488","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2006","2006","ha","152402","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2006","2006","kg/ha","6410.9","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2006","2006","t","977036","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2007","2007","ha","155734","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2007","2007","kg/ha","6309.1","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2007","2007","t","982546","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2008","2008","ha","157074","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2008","2008","kg/ha","6279.9","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2008","2008","t","986409","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2009","2009","ha","161975","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2009","2009","kg/ha","6122.3","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2009","2009","t","991660","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2010","2010","ha","155118","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2010","2010","kg/ha","6392.2","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2010","2010","t","991546","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2011","2011","ha","156023","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2011","2011","kg/ha","6461.3","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2011","2011","t","1008105","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2012","2012","ha","156848","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2012","2012","kg/ha","6573.8","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2012","2012","t","1031082","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2013","2013","ha","156901","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2013","2013","kg/ha","6979.9","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2013","2013","t","1095158","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2014","2014","ha","107281","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2014","2014","kg/ha","6122.3","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2014","2014","t","656807","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2015","2015","ha","109427","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2015","2015","kg/ha","9490.6","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2015","2015","t","1038530","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2016","2016","ha","111615","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2016","2016","kg/ha","10330.2","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2016","2016","t","1153009","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2017","2017","ha","113848","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2017","2017","kg/ha","10752.9","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2017","2017","t","1224192","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2018","2018","ha","116125","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2018","2018","kg/ha","11219.5","A","Official figure",""
